event_id,failed_auth,bytes_out,unique_dst,rare_port_hits,process_entropy,label
E0000,1,1774.8488503447777,6,0,2.7213850594483473,normal
E0001,0,3051.0038396232853,3,0,2.561524681997418,normal
E0002,0,5305.760369307164,5,0,2.7987097599604005,normal
E0003,0,5836.112400344505,4,0,2.761940310724637,normal
E0004,1,4876.018721128847,4,0,1.7428229953764531,normal
E0005,0,1810.859724076831,3,2,2.3896254482809534,normal
E0006,0,2144.3259331234353,1,0,2.0983943896843833,normal
E0007,0,3042.452925041837,4,0,2.8806319514538226,normal
E0008,0,2736.033761208463,7,0,2.823105140925615,normal
E0009,0,5415.342082466297,6,0,1.351422673360915,normal
E0010,0,3460.3204095954425,9,0,1.1208531270843076,normal
E0011,0,3749.2676252927895,2,0,1.9087865076640438,normal
E0012,1,3923.802155734623,2,0,2.6070446365735056,normal
E0013,0,3489.0946222479542,6,0,2.200753636178248,normal
E0014,1,4317.567086696658,4,0,2.5577397032403395,normal
E0015,0,4199.049335633852,6,0,2.3462867086828556,normal
E0016,2,3047.352580625338,3,1,1.7701968671045123,normal
E0017,0,3440.395914918418,9,0,2.4064001765601617,normal
E0018,28,450702.4639164191,127,10,5.274765373026936,anomaly
E0019,22,94668.60409846147,143,16,5.576662435726588,anomaly
E0020,0,4591.631657311844,5,0,2.6173083709033094,normal
E0021,0,2192.2787501159205,11,0,2.0332887571085827,normal
E0022,0,3244.827325465865,8,1,1.7596113087430456,normal
E0023,0,1394.6461950428466,6,0,2.5981479545746398,normal
E0024,0,3650.249445211541,8,0,2.1029925129906357,normal
E0025,25,404815.3678796809,134,6,5.419368803818397,anomaly
E0026,1,2412.8023714563965,11,0,2.67975228712346,normal
E0027,2,3501.0121618314633,1,1,1.265432292407161,normal
E0028,0,7371.215670442032,8,0,2.2508463251534403,normal
E0029,0,2772.5724920949515,10,0,2.6808024254413114,normal
E0030,28,557784.3482724058,43,18,5.185958119701736,anomaly
E0031,0,1804.5690866273555,2,0,1.9076497008795286,normal
E0032,0,4371.404899848948,2,0,1.9727961246578452,normal
E0033,1,3604.9975977881113,8,0,1.9464000372310764,normal
E0034,0,4732.055353041859,9,0,2.0226878994920936,normal
E0035,1,1942.8345541001815,10,0,1.1122070650453495,normal
E0036,0,1484.9901464081497,5,0,2.5715655166589464,normal
E0037,1,2354.229695044446,8,0,1.9625992023862142,normal
E0038,1,1529.9305526379412,7,0,1.9372771410773992,normal
E0039,2,3104.1588600932755,5,0,2.3540639285447567,normal
E0040,27,404419.72535417916,191,26,5.724096755093343,anomaly
E0041,0,2872.92603076235,2,0,1.0607568401885723,normal
E0042,18,446094.46971683035,188,16,4.824096550964081,anomaly
E0043,1,5159.403084510902,9,0,1.670743027719317,normal
E0044,1,3772.1364104715885,4,0,2.3528640309677007,normal
E0045,1,4244.435629867524,11,0,1.0984805648279177,normal
E0046,0,2650.6840846739465,4,0,2.2359883147750894,normal
E0047,19,251253.90981514647,63,25,5.851699754140203,anomaly
E0048,0,2286.4594376403775,11,0,2.94687477625547,normal
E0049,1,3708.583435921899,5,0,1.4537120170600988,normal
E0050,0,3041.9666333991668,6,0,2.102866719893095,normal
E0051,10,479451.9023845223,157,12,5.848546827036678,anomaly
E0052,0,2790.2719050682995,5,0,1.603072602655364,normal
E0053,10,357342.25723791664,43,22,4.408340071242421,anomaly
E0054,0,5364.574196993675,1,0,1.6300770344179591,normal
E0055,1,3159.6625410558,10,0,2.436748767333473,normal
E0056,0,2731.1385904271,9,0,1.998512211042256,normal
E0057,0,6521.017761737025,10,0,1.6428747315696073,normal
E0058,0,2545.6479665592856,8,1,2.660258082501517,normal
E0059,1,2264.6388821087326,11,1,2.012848109991345,normal
E0060,2,1909.5010631342614,2,0,2.8463170261948747,normal
E0061,0,2718.7078931878386,10,0,2.7247642110342003,normal
E0062,1,2633.472145221082,4,0,2.550223156665912,normal
E0063,0,3436.0380145190034,5,0,2.0712076139920894,normal
E0064,0,2659.3138978497777,11,0,1.582218615115936,normal
E0065,38,383597.9654266279,111,29,4.236688805582262,anomaly
E0066,1,2510.9154467664584,10,0,1.497770639423597,normal
E0067,0,3469.3916562095933,10,0,2.6062864163837016,normal
E0068,0,3615.0222080278827,10,0,2.3137031406917363,normal
E0069,0,1861.7226267442688,5,0,2.58830923307167,normal
E0070,0,1819.6180670232652,6,0,2.2948362718557194,normal
E0071,0,4304.964593291972,1,0,2.167166773136107,normal
E0072,0,2193.87775242245,9,0,1.45552874739716,normal
E0073,0,3054.4888911131425,6,0,2.0123395890393017,normal
E0074,1,5166.890769044733,3,0,2.2624001377148506,normal
