event_id,failed_auth,bytes_out,unique_dst,rare_port_hits,process_entropy,label,recon_error,flagged
E0711,21,1544949.7864288094,76,6,4.644741061602328,anomaly,31.707377987748593,True
E0130,17,1320296.0774572152,99,16,5.747993693407434,anomaly,25.618998575730267,True
E0649,38,707037.6345697427,192,15,5.074164731130114,anomaly,22.06197569061027,True
E0925,38,229342.0278373747,182,26,5.657314420348852,anomaly,21.998233908463455,True
E0140,39,613124.5087661057,164,22,5.080640327882806,anomaly,21.662698867252512,True
E0246,36,313159.81784453127,173,25,6.165844014439155,anomaly,20.995658305189693,True
E0544,30,916248.1580344256,64,28,4.012612872221749,anomaly,19.973339269803404,True
E0040,27,404419.7253541792,191,26,5.724096755093343,anomaly,19.70807296554496,True
E0386,38,373040.2918827576,152,25,4.7841557731749775,anomaly,19.139252919525106,True
E0760,27,351957.9148734937,164,29,5.77960800152254,anomaly,18.890042140855563,True
E0404,35,150809.11807855143,190,19,5.466423520325559,anomaly,18.753325706800812,True
E0827,24,271400.9446469365,172,28,6.330656274610053,anomaly,18.348046400835493,True
E0494,26,299332.3517139353,191,23,6.448658928509129,anomaly,18.322451035177863,True
E0201,34,334119.8690822795,155,23,6.250178887148037,anomaly,18.317881452662004,True
E0191,27,106835.47730998026,184,26,5.683824860015356,anomaly,18.24949181879246,True
E0331,37,277505.4902751026,151,19,6.392929115111609,anomaly,18.227999247750795,True
E0065,38,383597.9654266279,111,29,4.236688805582262,anomaly,18.188428604098352,True
E0582,26,592415.9252895095,144,29,4.017074548957782,anomaly,17.9010397625904,True
E0868,18,789411.1565157772,195,11,6.469866226354279,anomaly,17.070750006898855,True
E0697,20,312483.7020086309,172,27,6.145708898530399,anomaly,16.751408355991348,True
E0298,28,394984.7586491898,136,26,5.5577361964752345,anomaly,16.033044884593533,True
E0297,19,349344.36856528954,179,26,5.092228583142576,anomaly,15.652576552751404,True
E0427,27,158492.63871081048,184,17,5.977723438056068,anomaly,15.478061600460197,True
E0647,17,653363.8742923107,127,28,4.494677643405535,anomaly,15.317884464950609,True
E0625,38,296463.070099516,78,24,5.336840955436182,anomaly,14.93428101191015,True
